Grinder,0,0-400,400-800,800-1200,1200-1600,1600,∞
"Apex -1 120rpm",0,0.07,0.13,0.47,0.30,0.03,0
"Apex -3 120rpm",0,0.09,0.16,0.57,0.17,0.01,0
"Apex -5 120rpm",0,0.11,0.29,0.52,0.08,0.00,0
"Apex -7 120rpm",0,0.11,0.41,0.44,0.03,0.00,0
"Apex -9 120rpm",0,0.25,0.55,0.19,0.01,0.00,0
"Vario 5L Single dose",0,0.29,0.67,0.03,0.00,0.00,0
"Vario 6L Single dose",0,0.23,0.73,0.04,0.00,0.00,0
"Vario 7L Single dose",0,0.18,0.65,0.16,0.00,0.00,0
"Vario 8L Single dose",0,0.15,0.56,0.28,0.01,0.00,0
"Vario 9L Single dose",0,0.12,0.41,0.43,0.03,0.01,0
"Apex -5 94rpm0.12",0,0.12,0.26,0.56,0.05,0.00,0
"Vario 7L Full hopper",0,0.17,0.63,0.20,0.01,0.00,0
